Date,Sales,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30,DayOfWeek,DayOfMonth,WeekOfYear,DayOfYear,Year,DoW_sin,DoW_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,Days_Since_Start,Trend,is_black_friday,is_christmas,is_new_year,is_holiday,lag_7_14_avg,lag_7_21_avg
2012-11-15,73558,31,171,11.37,,171.0,4,0,11,4,320,0,0,0,0,0,0,141.0,153.0,149.0,539.2385714285714,481.1933586556301,261.82233333333335,3,15,46,320,2012,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.6994583270516471,0.7146733860429608,67196.0,56477.0,144189.0,68089.0,70912.0,63233.0,,97524.57142857143,42596.78899031844,82138.64285714286,33694.168702535826,75033.83333333333,24755.512383811754,68715.91666666667,24734.981975573002,137,0.19187675070028012,0,0,0,0,69500.5,68072.5
2012-11-16,67597,57,253,15.44,,253.0,5,0,11,4,321,0,0,0,0,0,0,171.0,222.0,230.0,541.8100000000001,478.8276336010696,262.9556666666667,4,16,46,321,2012,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.6870527672236675,0.7266075247685652,73558.0,67196.0,56477.0,68943.0,49629.0,53068.0,,97332.28571428571,42750.07423663841,83422.07142857143,32687.780489078752,75518.13333333333,24451.21721070461,69015.45,24608.37198344141,138,0.19327731092436976,0,0,0,0,59286.0,69646.5
2012-11-17,144419,71,450,20.45,,450.0,6,1,11,4,322,0,0,0,0,0,0,253.0,1225.67,325.0,546.2385714285714,475.5086593122701,267.289,5,17,46,322,2012,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.6744436188329457,0.7383263540031063,67597.0,73558.0,67196.0,165555.0,82309.0,61053.0,,94312.85714285714,37559.76206628831,87858.5,36515.77393770027,78297.0,27319.580584451596,70478.8,26403.730258290074,139,0.19467787114845939,0,0,0,0,123932.0,117280.5
2012-11-18,82361,66,329,15.33,,329.0,7,1,11,4,323,0,0,0,0,0,0,450.0,1010.0,244.0,435.4285714285714,369.3087493966973,277.4556666666667,6,18,46,323,2012,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.661634618242279,0.749826401204568,144419.0,67597.0,73558.0,106754.0,65587.0,75176.0,,90828.14285714286,37344.06819665193,89056.64285714286,36000.35026241388,78536.5,27322.770384790772,70998.46666666666,26324.19770597534,140,0.19607843137254902,0,0,0,0,86170.5,90723.0
2012-11-19,76179,31,222,9.07,,222.0,1,0,11,4,324,0,0,0,0,0,0,329.0,890.0,115.0,338.1428571428572,268.72441184940686,281.62233333333336,0,19,47,324,2012,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.6486295610349818,0.7611042586607742,82361.0,144419.0,67597.0,144189.0,68065.0,92254.0,,81112.42857142857,29080.13972832744,89636.21428571429,35700.47383908461,78000.66666666667,27201.834460620266,71359.11666666667,26242.994998240658,141,0.19747899159663865,0,0,0,0,106127.0,106055.0
2012-11-20,76429,37,231,15.14,,231.0,2,0,11,4,325,0,0,0,0,0,0,222.0,133.0,115.0,242.7142857142857,114.36303931736362,276.2556666666667,1,20,47,325,2012,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.6354323008901775,0.7721565844991641,76179.0,82361.0,144419.0,56477.0,63822.0,77484.0,,83962.71428571429,27178.69392688745,90536.71428571429,35154.07194584471,77965.5,27203.20736255827,71553.36666666667,26236.5601991499,142,0.19887955182072828,0,0,0,0,60149.5,62263.0
2012-11-21,85711,45,253,14.52,,253.0,3,0,11,4,326,0,0,0,0,0,0,231.0,141.0,132.0,256.7142857142857,104.24444715141836,276.15566666666666,2,21,47,326,2012,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.622046748440868,0.7829801036770624,76429.0,76179.0,82361.0,67196.0,69768.0,54736.0,,86607.71428571429,26156.739225384383,91675.5,34684.630193413424,78998.0,26877.000580550208,71923.91666666667,26277.546312001417,143,0.20028011204481794,0,0,0,0,68482.0,75167.0
2012-11-22,71897,30,369,15.56,,369.0,4,0,11,4,327,0,0,0,0,0,0,253.0,171.0,153.0,272.7142857142857,91.31760378976692,280.7556666666667,3,22,47,327,2012,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.6084768701151264,0.7935716089521472,85711.0,76429.0,76179.0,73558.0,68089.0,54725.0,,86370.42857142857,26301.983390720066,91947.5,34499.87372942333,79570.4,26522.754099205013,72306.96666666666,26103.379153916227,144,0.20168067226890757,0,0,0,0,70823.5,72235.0
2012-11-23,252073,119,1693,16.28,,1225.67,5,0,11,4,328,1,0,0,0,0,0,369.0,253.0,222.0,301.0,85.00784277543706,288.35566666666665,4,23,47,328,2012,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.594726686960764,0.8039279618328208,71897.0,85711.0,76429.0,67597.0,68943.0,60454.0,,112724.14285714286,66325.00627322138,105028.21428571429,54199.51338012969,85957.7,40923.82338135423,75778.4,34685.312934967325,145,0.2030812324929972,0,0,0,0,68270.0,58613.0
2012-11-24,100190,67,463,16.81,,463.0,6,1,11,4,329,0,0,0,0,0,0,1225.67,450.0,1225.67,439.9528571428572,356.1163979522374,323.94466666666665,5,24,47,329,2012,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.5808002734538013,0.8140460935082175,252073.0,71897.0,85711.0,144419.0,165555.0,68056.0,,106405.71428571429,64893.65882404403,100359.28571428571,51323.5335665642,87028.83333333333,40859.59473956648,76625.36666666667,34650.010925704104,146,0.20448179271708683,0,0,0,0,154987.0,113364.0
