start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-08-05,2013-08-11,6114.0,20455,12630.0,"[9, 12, 12, 15, 15, 13, 17]","[13, 12, 11, 12, 15, 7, 11]","[0.16017278086449516, 0.08918653652514658, 0.08747889695542321, 0.21146497403084719, 0.16495098634443536, 0.035294328351443194, 0.08782782687392249]","[139, 129, 139, 156, 181, 236, 183]","[172.64447021484375, 157.22142028808594, 165.6641082763672, 178.1228790283203, 210.1278839111328, 241.7870635986328, 198.50645446777344]"
2013-08-06,2013-08-12,6205.0,20012,14230.0,"[16, 17, 14, 12, 15, 11, 10]","[6, 8, 13, 19, 20, 20, 12]","[0.0, 0.0, 0.0, 0.029671976664227856, 0.015399740315138405, 0.0, 1.0250825324275256e-06]","[129, 139, 156, 181, 236, 183, 135]","[141.14492797851562, 156.56011962890625, 173.52061462402344, 205.00698852539062, 230.45748901367188, 206.86817932128906, 145.63589477539062]"
2013-08-07,2013-08-13,6986.0,21295,13080.0,"[14, 13, 14, 15, 16, 14, 14]","[9, 13, 14, 15, 15, 8, 8]","[0.11352066926001092, 0.030142864955598567, 0.12600759400997774, 0.12830422090811894, 0.08991147454744293, 0.08978511144752932, 0.12891962300020107]","[139, 156, 181, 236, 183, 135, 155]","[148.19712829589844, 172.6792449951172, 204.96380615234375, 239.04759216308594, 208.8005828857422, 139.21533203125, 144.30911254882812]"
2013-08-08,2013-08-14,6957.0,20969,13660.0,"[16, 18, 19, 20, 20, 7, 20]","[12, 13, 19, 12, 0, 15, 3]","[0.25487144771691267, 0.0, 0.02578277828642351, 0.0, 0.02360493086643512, 0.03585283988338517, 0.0]","[156, 181, 236, 183, 135, 155, 135]","[176.62841796875, 200.6445770263672, 246.8896026611328, 207.0658416748047, 141.3290252685547, 147.50057983398438, 147.3697967529297]"
2013-08-09,2013-08-15,6892.0,18988,12475.0,"[20, 20, 9, 20, 20, 18, 20]","[11, 17, 20, 2, 0, 5, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.01821423487600364, 0.0]","[181, 236, 183, 135, 155, 135, 131]","[201.42686462402344, 243.1297607421875, 197.9195098876953, 135.8018035888672, 131.559326171875, 146.6416778564453, 179.58462524414062]"
2013-08-10,2013-08-16,6389.0,19460,12880.0,"[16, 10, 20, 20, 19, 7, 0]","[20, 20, 0, 2, 4, 18, 20]","[0.0, 0.0370548327866653, 0.01881266616609103, 0.0362155500358372, 0.2131160581410808, 0.0, 0.026678683005526543]","[236, 183, 135, 155, 135, 131, 162]","[237.8692169189453, 202.7108612060547, 135.55947875976562, 137.07064819335938, 144.59527587890625, 168.566162109375, 170.37977600097656]"
2013-08-11,2013-08-17,6026.0,20122,13360.0,"[15, 0, 20, 0, 11, 20, 20]","[16, 18, 0, 20, 15, 7, 17]","[0.08778381496656582, 0.0, 0.0, 0.023235601315305787, 0.3, 0.0, 0.01580417425126571]","[183, 135, 155, 135, 131, 162, 237]","[205.03921508789062, 134.64334106445312, 134.266845703125, 150.20639038085938, 171.7921600341797, 172.75851440429688, 237.65419006347656]"
2013-08-12,2013-08-18,6144.0,19702,12715.0,"[4, 8, 0, 5, 20, 18, 20]","[15, 12, 20, 19, 7, 20, 1]","[0.16860305226079564, 0.025593349533968416, 0.026154522763097297, 0.0875505321599529, 0.2169361084203472, 0.03383829232838048, 0.0]","[135, 155, 135, 131, 162, 237, 154]","[130.94500732421875, 135.65701293945312, 145.52296447753906, 165.43667602539062, 173.83897399902344, 246.53079223632812, 173.5960235595703]"
2013-08-13,2013-08-19,5467.0,16692,11455.0,"[20, 20, 20, 20, 20, 20, 0]","[3, 4, 7, 8, 18, 9, 0]","[0.0, 0.023929969663020273, 0.0, 0.0, 0.016449312690634904, 0.0, 0.0]","[155, 135, 131, 162, 237, 154, 134]","[141.32339477539062, 148.59722900390625, 172.42355346679688, 179.99363708496094, 245.35458374023438, 186.10910034179688, 113.5722885131836]"
2013-08-14,2013-08-20,4923.0,20347,13250.0,"[19, 20, 17, 19, 7, 20, 1]","[5, 7, 11, 19, 20, 0, 20]","[0.0, 0.0, 0.0, 0.3, 0.03357066747396553, 0.3, 0.03906509399666941]","[135, 131, 162, 237, 154, 134, 116]","[149.75027465820312, 173.9569854736328, 180.34080505371094, 246.8081817626953, 183.2750244140625, 119.26756286621094, 154.7625274658203]"
2013-08-15,2013-08-21,6631.0,17815,11340.0,"[20, 20, 17, 20, 20, 20, 20]","[7, 7, 20, 0, 0, 0, 0]","[0.0, 0.0, 0.022324239101670924, 0.03803549900546136, 0.08845917514277894, 0.02446584521688471, 0.0]","[131, 162, 237, 154, 134, 116, 144]","[169.0567626953125, 171.09750366210938, 242.7139129638672, 181.88055419921875, 116.90437316894531, 144.57830810546875, 124.5722427368164]"
2013-08-16,2013-08-22,5949.0,18118,11175.0,"[11, 20, 11, 16, 14, 16, 13]","[14, 15, 15, 0, 8, 3, 4]","[0.3, 0.030147980366480517, 0.0, 0.0, 0.0, 0.015734115474493007, 0.08778136752334405]","[162, 237, 154, 134, 116, 144, 136]","[168.1873779296875, 229.9222412109375, 173.6341552734375, 98.67341613769531, 138.14317321777344, 118.59771728515625, 139.18519592285156]"
2013-08-17,2013-08-23,6365.0,18519,11375.0,"[20, 20, 16, 20, 20, 0, 20]","[15, 7, 1, 0, 0, 19, 6]","[0.01879484029570347, 0.029208397447444686, 0.020096398263598964, 0.0, 0.01875101534418878, 0.0, 0.3]","[237, 154, 134, 116, 144, 136, 150]","[229.4635009765625, 171.6240692138672, 106.54991149902344, 134.17918395996094, 113.26791381835938, 137.08770751953125, 165.1398468017578]"
2013-08-18,2013-08-24,5569.0,18294,11365.0,"[16, 19, 20, 6, 20, 19, 20]","[12, 0, 3, 12, 0, 0, 17]","[0.02386592602749154, 0.023572970903784917, 0.02478574676014929, 0.0, 0.03143642099610146, 0.0, 0.3]","[154, 134, 116, 144, 136, 150, 228]","[180.6644287109375, 112.71916961669922, 142.88674926757812, 123.65848541259766, 140.05267333984375, 167.87684631347656, 241.16778564453125]"
2013-08-19,2013-08-25,6031.0,18752,11370.0,"[11, 16, 14, 10, 17, 15, 17]","[6, 6, 5, 11, 9, 11, 11]","[0.170401233336296, 0.08755495607423491, 0.1635628655190927, 0.08767904911908964, 0.08989217965649457, 0.12752896156548307, 0.08854503729084923]","[134, 116, 144, 136, 150, 228, 180]","[111.26104736328125, 137.98255920410156, 119.67949676513672, 140.4012908935547, 170.01654052734375, 239.7994384765625, 181.4971466064453]"
2013-08-20,2013-08-26,5566.0,17218,11920.0,"[8, 12, 20, 20, 20, 19, 0]","[14, 8, 4, 7, 18, 0, 18]","[0.016978681545176948, 0.0, 0.03400792211625729, 0.0, 0.0, 0.0, 0.0]","[116, 144, 136, 150, 228, 180, 126]","[146.19496154785156, 128.2457275390625, 150.52996826171875, 171.24603271484375, 246.58837890625, 191.3684539794922, 130.61180114746094]"
2013-08-21,2013-08-27,6398.0,18410,12335.0,"[6, 0, 20, 20, 7, 20, 16]","[13, 20, 6, 18, 20, 0, 5]","[0.03146112567646397, 0.0, 0.028085285555173225, 0.0, 0.0, 0.03624923844392995, 0.03128051258654025]","[144, 136, 150, 228, 180, 126, 112]","[127.46258544921875, 143.16603088378906, 162.9934844970703, 247.19276428222656, 185.42514038085938, 123.60623931884766, 133.97885131835938]"
2013-08-22,2013-08-28,6202.0,19456,12530.0,"[19, 20, 20, 17, 18, 4, 17]","[5, 7, 17, 12, 3, 13, 7]","[0.176018505900945, 0.03303718833348676, 0.03082116140240286, 0.017846350540863948, 0.25531028231269065, 0.0324508170661135, 0.0]","[136, 150, 228, 180, 126, 112, 112]","[148.557861328125, 168.0247344970703, 245.79861450195312, 190.36639404296875, 133.7755126953125, 135.43466186523438, 152.5858612060547]"
2013-08-23,2013-08-29,6717.0,17728,11300.0,"[20, 20, 7, 20, 20, 20, 20]","[6, 15, 20, 0, 0, 0, 0]","[0.0, 0.028447927463193537, 0.020105539941089465, 0.0, 0.0, 0.0, 0.0]","[150, 228, 180, 126, 112, 112, 128]","[164.7228240966797, 229.2983856201172, 182.7916259765625, 125.78125, 126.66727447509766, 141.5223846435547, 140.74221801757812]"
2013-08-24,2013-08-30,5950.0,19009,11770.0,"[19, 13, 14, 15, 7, 7, 9]","[17, 13, 6, 5, 15, 13, 9]","[0.02905955432284143, 0.1601604770220983, 0.03299174843302278, 0.16459925620347832, 0.08991528778631801, 0.0879927355640146, 0.20586553428172832]","[228, 180, 126, 112, 112, 128, 159]","[236.07786560058594, 177.74041748046875, 130.2362518310547, 130.34713745117188, 145.2098846435547, 134.2246856689453, 155.3044891357422]"
2013-08-25,2013-08-31,6368.0,18638,12465.0,"[20, 20, 20, 16, 8, 0, 20]","[9, 0, 1, 7, 12, 20, 19]","[0.0, 0.08716457392085308, 0.0, 0.023499666731947772, 0.027677455151730555, 0.018219398038843947, 0.038319308931413804]","[180, 126, 112, 112, 128, 159, 253]","[183.35601806640625, 124.32929992675781, 129.67108154296875, 144.13548278808594, 135.7556915283203, 175.8170166015625, 255.8094482421875]"
2013-08-26,2013-09-01,5991.0,19959,12235.0,"[12, 11, 14, 11, 8, 19, 19]","[7, 7, 8, 9, 17, 13, 12]","[0.03797731091377171, 0.12784031545645233, 0.13751387339123572, 0.2060221212182202, 0.17937554759105148, 0.08912694609575128, 0.10663009355043754]","[126, 112, 112, 128, 159, 253, 203]","[125.80570983886719, 125.10211181640625, 141.69419860839844, 133.94390869140625, 168.58872985839844, 248.1428985595703, 202.5044403076172]"
2013-08-27,2013-09-02,6281.0,17461,11440.0,"[0, 20, 0, 20, 20, 20, 20]","[20, 0, 19, 7, 17, 0, 0]","[0.017755067590391787, 0.017847693884855343, 0.03842150367838862, 0.02673420619798471, 0.0, 0.0, 0.026808553065505003]","[112, 112, 128, 159, 253, 203, 226]","[138.0514678955078, 147.84376525878906, 132.8966522216797, 172.44683837890625, 242.20864868164062, 195.68797302246094, 125.48218536376953]"
2013-08-28,2013-09-03,6137.0,17973,12145.0,"[0, 20, 10, 17, 20, 15, 20]","[20, 0, 15, 20, 10, 5, 0]","[0.0, 0.03713962936890375, 0.0, 0.0, 0.03376168184209534, 5.564784796846024e-05, 0.0]","[112, 128, 159, 253, 203, 226, 91]","[143.46351623535156, 133.13809204101562, 164.2548370361328, 244.8016357421875, 193.4814910888672, 127.16804504394531, 132.08282470703125]"
2013-08-29,2013-09-04,5307.0,15993,10860.0,"[20, 20, 20, 20, 18, 0, 20]","[0, 6, 2, 10, 3, 20, 0]","[0.0, 0.0, 0.023614328671292623, 0.028793329333505445, 0.020765190273926558, 0.03725391848270376, 0.03739320563600799]","[128, 159, 253, 203, 226, 91, 81]","[123.48440551757812, 164.12542724609375, 247.12559509277344, 188.1261444091797, 132.19061279296875, 149.155517578125, 119.14484405517578]"
2013-08-30,2013-09-05,4884.0,16270,10720.0,"[19, 17, 20, 20, 20, 20, 20]","[7, 20, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.3, 0.0, 0.03035258438095855, 0.0, 0.02558531957492977]","[159, 253, 203, 226, 91, 81, 91]","[166.01893615722656, 244.86402893066406, 191.9679718017578, 126.22722625732422, 139.14195251464844, 120.53109741210938, 136.77012634277344]"
2013-08-31,2013-09-06,4121.0,18387,12375.0,"[20, 11, 6, 0, 14, 0, 20]","[18, 18, 13, 20, 5, 20, 1]","[0.028226588185364266, 0.3, 0.29471225949492014, 0.0, 0.030011005723372775, 0.017321379873001693, 0.017144655062647535]","[253, 203, 226, 91, 81, 91, 117]","[249.8533172607422, 197.3024139404297, 127.6298828125, 134.5562286376953, 118.1832046508789, 138.7174530029297, 147.145751953125]"
2013-09-01,2013-09-07,2848.0,15478,12795.0,"[13, 16, 0, 6, 16, 20, 17]","[18, 5, 20, 13, 6, 4, 19]","[0.0, 0.0, 0.03801457656837363, 0.03712033371445228, 0.030510644489736418, 0.0, 0.0]","[203, 226, 91, 81, 91, 117, 181]","[204.3023681640625, 133.98959350585938, 142.7281951904297, 126.37736511230469, 141.4164581298828, 149.5133819580078, 235.12295532226562]"
2013-09-02,2013-09-08,2877.0,14317,11525.0,"[20, 20, 0, 20, 20, 20, 20]","[0, 0, 17, 0, 0, 16, 11]","[0.027530098760489983, 0.025095231865850297, 0.0, 0.0, 0.031079660103713453, 0.0, 0.03294346185290124]","[226, 91, 81, 91, 117, 181, 134]","[137.0598907470703, 153.77159118652344, 123.06988525390625, 128.33984375, 145.88169860839844, 237.3962860107422, 196.9546356201172]"
