Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2013-11-20,26,143,13.2,No,83951,143.0,3,0,11,4,324,0,0,0,0,0,0,139.0,139.0,133.0,210.71428571428572,91.51450574583635,269.0556666666667
2013-11-21,32,171,11.26,No,93162,171.0,4,0,11,4,325,0,0,0,0,0,0,143.0,161.0,133.0,211.28571428571428,91.00313966326316,270.32233333333335
2013-11-22,35,221,13.04,No,97410,221.0,5,0,11,4,326,0,0,0,0,0,0,171.0,207.0,235.0,212.71428571428572,90.15674181800298,272.35566666666665
2013-11-23,51,471,16.66,No,142896,471.0,6,1,11,4,327,0,0,0,0,0,0,221.0,382.0,1225.67,214.71428571428572,90.16413604405793,274.989
2013-11-24,100,327,12.85,No,97584,327.0,7,1,11,4,328,0,0,0,0,0,0,471.0,286.0,1040.0,227.42857142857142,119.26421249038769,285.789
2013-11-25,29,180,15.16,No,106213,180.0,1,0,11,4,329,0,0,0,0,0,0,327.0,161.0,939.0,233.28571428571428,123.54987425558717,288.7556666666667
2013-11-26,27,175,14.42,No,96561,175.0,2,0,11,4,330,0,0,0,0,0,0,180.0,139.0,148.0,236.0,121.89476335484355,284.65566666666666
2013-11-27,55,360,24.71,No,125205,360.0,3,0,11,4,331,0,0,0,0,0,0,175.0,143.0,139.0,241.14285714285714,117.81118873212412,283.289
2013-11-28,66,808,20.16,No,144955,808.0,4,0,11,4,332,0,0,0,0,0,0,360.0,171.0,161.0,272.14285714285717,116.22166833459329,290.2556666666667
2013-11-29,184,1681,22.28,No,241814,1225.67,5,0,11,4,333,1,0,0,0,0,0,808.0,221.0,207.0,363.14285714285717,223.6033903823381,312.15566666666666
2013-11-30,44,545,25.13,No,144977,545.0,6,1,11,4,334,0,0,0,0,0,0,1225.67,471.0,382.0,506.6671428571429,382.8717786550433,348.57800000000003
2013-12-01,48,388,18.6,No,89741,388.0,7,1,12,4,335,0,0,0,0,0,0,545.0,327.0,286.0,517.2385714285714,382.7444252774332,363.378
2013-12-02,25,184,14.53,No,95841,184.0,1,0,12,4,336,0,0,0,0,0,0,388.0,180.0,161.0,525.9528571428572,378.36051884916566,370.5113333333333
2013-12-03,30,139,17.02,No,116226,139.0,2,0,12,4,337,0,0,0,0,0,0,184.0,175.0,139.0,526.5242857142857,377.7534876899287,367.478
2013-12-04,20,208,16.48,No,101852,208.0,3,0,12,4,338,0,0,0,0,0,0,139.0,360.0,143.0,521.3814285714286,383.5376536242815,363.978
2013-12-05,37,184,19.41,No,115283,184.0,4,0,12,4,339,0,0,0,0,0,0,208.0,808.0,171.0,499.6671428571429,398.21898777407614,367.07800000000003
2013-12-06,38,259,13.27,No,117310,259.0,5,0,12,4,340,0,0,0,0,0,0,184.0,1225.67,221.0,410.5242857142857,387.3890432049393,368.61133333333333
2013-12-07,64,393,16.12,No,136692,393.0,6,1,12,4,341,0,0,0,0,0,0,259.0,545.0,471.0,272.42857142857144,144.58314464101883,372.8113333333333
2013-12-08,47,374,17.13,No,114174,374.0,7,1,12,4,342,0,0,0,0,0,0,393.0,388.0,327.0,250.71428571428572,101.9537710365412,381.478
2013-12-09,28,194,15.51,No,107161,194.0,1,0,12,4,343,0,0,0,0,0,0,374.0,184.0,180.0,248.71428571428572,98.9035123840645,386.11133333333333
2013-12-10,23,203,20.43,No,113194,203.0,2,0,12,4,344,0,0,0,0,0,0,194.0,139.0,175.0,250.14285714285714,97.87990698032068,351.7223333333333
2013-12-11,25,236,17.18,No,124350,236.0,3,0,12,4,345,0,0,0,0,0,0,203.0,208.0,360.0,259.2857142857143,88.28687008027568,323.82233333333335
2013-12-12,55,255,14.2,No,109785,255.0,4,0,12,4,346,0,0,0,0,0,0,236.0,184.0,808.0,263.2857142857143,86.18529318801912,300.389
2013-12-13,40,306,15.76,No,121560,306.0,5,0,12,4,347,0,0,0,0,0,0,255.0,259.0,1225.67,273.42857142857144,79.19355433126556,303.9556666666667
2013-12-14,94,643,28.73,No,139549,643.0,6,1,12,4,348,0,0,0,0,0,0,306.0,393.0,545.0,280.14285714285717,79.75677311139741,309.52233333333334
2013-12-15,32,473,24.8,No,138108,473.0,7,1,12,4,349,0,0,0,0,0,0,643.0,374.0,388.0,315.85714285714283,157.14476189321834,325.589
2013-12-16,27,292,20.49,No,112943,292.0,1,0,12,4,350,0,0,0,0,0,0,473.0,194.0,184.0,330.0,167.3718415186182,334.4556666666667
2013-12-17,25,292,17.58,No,120258,292.0,2,0,12,4,351,0,0,0,0,0,0,292.0,203.0,139.0,344.0,157.93247502229173,331.4556666666667
2013-12-18,36,394,19.5,No,117331,394.0,3,0,12,4,352,0,0,0,0,0,0,292.0,236.0,208.0,356.7142857142857,147.95687917511046,331.65566666666666
2013-12-19,41,352,19.16,No,135283,352.0,4,0,12,4,353,0,0,0,0,0,0,394.0,255.0,184.0,379.2857142857143,138.20240505108777,339.4223333333333
2013-12-20,33,496,19.58,No,121315,496.0,5,0,12,4,354,0,0,0,0,0,0,352.0,306.0,259.0,393.14285714285717,128.1619139622859,346.52233333333334
2013-12-21,56,719,24.41,No,136778,719.0,6,1,12,4,355,0,0,0,0,0,0,496.0,643.0,393.0,420.2857142857143,126.74214543146897,358.289
2013-12-22,50,747,22.5,No,146999,747.0,7,1,12,4,356,0,0,0,0,0,0,719.0,473.0,374.0,431.14285714285717,150.1026632802021,376.5556666666667
2013-12-23,28,668,19.92,No,151487,668.0,1,0,12,4,357,0,0,0,0,0,0,747.0,292.0,194.0,470.2857142857143,192.55883454649646,394.089
2013-12-24,28,329,22.51,No,104938,329.0,2,0,12,4,358,0,0,0,0,0,0,668.0,292.0,203.0,524.0,186.89658459515414,400.65566666666666
2013-12-25,0,0,0.0,No,0,0.0,3,0,12,4,359,0,0,0,0,0,0,329.0,394.0,236.0,529.2857142857143,179.623415590985,400.7223333333333
2013-12-26,47,669,17.65,No,132462,669.0,4,0,12,4,360,0,0,0,0,0,0,0.0,352.0,255.0,473.0,268.7167033637227,394.7223333333333
2013-12-27,50,437,20.56,No,97911,437.0,5,0,12,4,361,0,0,0,0,0,0,669.0,496.0,306.0,518.2857142857143,271.6221114500285,411.189
2013-12-28,40,572,17.78,No,120220,572.0,6,1,12,4,362,0,0,0,0,0,0,437.0,719.0,643.0,509.85714285714283,273.33887915395997,413.7556666666667
