Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2013-09-19,14,70,8.62,No,33019,70.0,4,0,9,3,262,0,0,0,0,0,0,65.0,286.0,64.0,160.0,123.18955583435911,119.33333333333333
2013-09-20,18,110,13.14,No,32470,110.0,5,0,9,3,263,0,0,0,0,0,0,70.0,380.0,82.0,129.14285714285714,112.99915718185478,118.96666666666667
2013-09-21,18,138,13.75,No,43841,138.0,6,1,9,3,264,0,0,0,0,0,0,110.0,129.0,127.0,90.57142857142857,24.61610003539066,119.3
2013-09-22,18,103,12.1,No,33616,103.0,7,1,9,3,265,0,0,0,0,0,0,138.0,106.0,94.0,91.85714285714286,27.070454813495534,120.73333333333333
2013-09-23,12,63,12.48,No,22174,63.0,1,0,9,3,266,0,0,0,0,0,0,103.0,84.0,68.0,91.42857142857143,26.83192838676267,120.7
2013-09-24,8,65,6.74,No,34584,65.0,2,0,9,3,267,0,0,0,0,0,0,63.0,70.0,57.0,88.42857142857143,28.895542579303797,117.5
2013-09-25,16,67,12.56,No,34058,67.0,3,0,9,3,268,0,0,0,0,0,0,65.0,65.0,261.0,87.71428571428571,29.4828440832643,115.46666666666667
2013-09-26,18,74,9.29,No,27853,74.0,4,0,9,3,269,0,0,0,0,0,0,67.0,70.0,286.0,88.0,29.23468259904055,114.76666666666667
2013-09-27,6,98,11.4,No,38237,98.0,5,0,9,3,270,0,0,0,0,0,0,74.0,110.0,380.0,88.57142857142857,28.860914416427605,114.63333333333334
2013-09-28,17,151,7.35,No,39767,151.0,6,1,9,3,271,0,0,0,0,0,0,98.0,138.0,129.0,86.85714285714286,27.709376099246636,115.3
2013-09-29,16,95,11.45,No,33790,95.0,7,1,9,3,272,0,0,0,0,0,0,151.0,103.0,106.0,88.71428571428571,31.836636577556472,117.33333333333333
2013-09-30,10,51,9.15,No,26129,51.0,1,0,9,3,273,0,0,0,0,0,0,95.0,63.0,84.0,87.57142857142857,31.378639989952163,116.8
